gene	esophagus1	esophagus2	esophagus3	esophagus4	sigmoid_colon1	sigmoid_colon2	sigmoid_colon3	sigmoid_colon4
ENSG00000179403.11	2034	1969	782	1410	1412	1410	3396	1579
ENSG00000215915.9	5	0	5	32	13	4	18	14
ENSG00000160072.19	710	606	1062	1754	363	635	788	493
ENSG00000197785.13	1045	723	717	1807	146	294	332	255
ENSG00000205090.8	3	1	15	2	93	82	85	69
ENSG00000160075.11	2232	1965	1650	2552	731	1439	1279	1468
ENSG00000215014.4	7	3	7	5	0	8	3	8
ENSG00000279244.1	0	0	0	0	0	0	0	0
ENSG00000274481.1	0	0	0	0	0	0	0	0
ENSG00000228594.3	400	167	153	270	25	15	36	16
ENSG00000272106.1	216	143	184	167	68	105	147	171
ENSG00000197530.12	1925	1836	1801	1764	922	710	1261	725
ENSG00000189409.13	3	0	33	10	39	9	43	41
ENSG00000248333.8	569	262	517	490	521	522	588	477
ENSG00000272004.1	0	0	17	23	0	9	0	12
ENSG00000189339.11	1907	683	1712	1202	1832	1102	1537	974
ENSG00000269737.2	0	0	1	0	0	0	0	0
ENSG00000215914.4	0	0	2	0	6	0	0	0
ENSG00000008128.22	31	0	39	20	29	40	13	14
ENSG00000268575.1	69	62	117	134	206	127	136	285
ENSG00000227775.3	0	1	2	2	0	0	9	1
ENSG00000215790.6	61	132	155	107	176	187	188	226
ENSG00000008130.15	1361	1677	1781	1362	601	1285	1339	989
ENSG00000078369.17	2335	3258	3766	3508	2304	4282	3346	4666
ENSG00000231050.1	0	0	20	11	0	2	17	1
ENSG00000169885.9	8	0	14	1	2	0	0	3
ENSG00000178821.12	74	8	50	24	0	23	2	6
ENSG00000142609.17	0	0	1	0	0	0	5	2
ENSG00000233542.1	10	0	1	1	0	0	0	0
ENSG00000187730.7	24	26	5	0	0	0	0	0
ENSG00000226969.1	0	0	0	0	0	0	0	0
ENSG00000067606.16	793	470	495	744	19	95	93	92
ENSG00000271806.1	0	0	0	0	0	0	0	0
ENSG00000182873.5	8	0	12	4	21	10	18	16
ENSG00000162585.16	177	236	292	278	237	452	426	441
ENSG00000234396.3	0	16	3	0	1	0	0	0
ENSG00000157933.9	2893	1562	2067	1895	1572	1104	1977	1046
ENSG00000116151.13	193	204	191	289	135	131	195	196
ENSG00000272161.1	0	0	0	0	0	0	0	0
ENSG00000269896.2	23	3	11	10	25	10	38	9
ENSG00000272420.1	0	0	4	10	1	7	20	22
ENSG00000157916.19	2236	2472	2142	2738	720	1457	1522	1459
ENSG00000157911.9	671	889	694	773	174	244	338	287
ENSG00000149527.17	1694	1257	1225	1898	40	7	35	47
ENSG00000224387.1	5	0	0	0	0	0	0	0
ENSG00000229393.1	0	0	2	0	0	0	0	0
ENSG00000157881.13	475	512	549	606	374	603	524	572
ENSG00000197921.5	0	6	14	16	0	0	0	3
ENSG00000272449.1	0	0	9	0	1	3	8	7
ENSG00000238164.6	13	48	65	3	27	19	22	19
ENSG00000157873.17	285	494	723	302	565	745	748	539
ENSG00000225931.3	0	0	5	4	0	4	5	0
ENSG00000228037.1	0	0	8	4	0	0	0	11
ENSG00000157870.14	372	609	284	437	182	273	270	231
ENSG00000142606.15	29	0	11	12	0	7	13	8
ENSG00000237058.1	0	0	0	0	0	0	0	0
ENSG00000215912.12	18	0	18	7	48	21	39	45
ENSG00000283259.1	0	0	0	0	0	0	0	0
ENSG00000233234.1	0	0	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0	0	0
ENSG00000169717.6	0	0	0	0	0	0	0	0
ENSG00000177133.10	0	0	12	0	19	0	25	10
ENSG00000142611.16	5	17	45	8	49	18	20	35
ENSG00000283572.1	0	0	0	0	0	0	0	0
ENSG00000226286.1	0	0	0	0	0	0	0	0
ENSG00000279839.1	0	0	0	0	0	0	1	3
ENSG00000272235.1	0	0	0	0	0	0	0	0
ENSG00000130762.14	1099	1161	344	1120	19	16	11	31
ENSG00000272088.1	1	0	0	2	0	0	0	0
ENSG00000162591.15	1702	951	2380	801	1070	393	653	276
ENSG00000207776.1	0	0	0	0	0	0	0	1
ENSG00000238260.1	0	0	7	6	7	0	0	1
ENSG00000158109.14	1474	1112	1077	1045	466	1389	895	1163
ENSG00000116213.15	228	181	460	434	183	275	221	250
ENSG00000078900.14	330	685	328	267	0	2	0	0
ENSG00000227589.1	0	0	0	0	0	0	0	0
ENSG00000235131.1	0	0	0	0	0	0	0	0
ENSG00000227372.11	182	250	507	268	371	514	499	504
ENSG00000276189.1	0	0	0	0	0	0	0	0
ENSG00000162592.9	0	0	0	0	0	0	0	0
ENSG00000235169.7	0	26	25	0	25	55	3	107
ENSG00000130764.9	1489	1043	1783	1708	641	1204	1539	1360
ENSG00000266075.2	0	0	6	0	7	4	0	0
ENSG00000272153.1	1	0	7	0	4	4	6	0
ENSG00000116198.12	1169	947	1169	1151	823	1041	1229	1038
ENSG00000169598.15	57	194	149	133	72	240	97	125
ENSG00000198912.10	320	574	507	639	339	412	378	404
ENSG00000236423.5	25	0	9	40	11	5	3	6
ENSG00000233304.6	0	0	0	0	0	0	0	0
ENSG00000226374.2	0	0	35	0	0	0	15	4
ENSG00000229280.1	0	0	0	0	0	0	0	0
ENSG00000235054.3	0	0	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0	0	0
ENSG00000232596.2	0	0	0	0	0	0	0	0
ENSG00000196581.10	44	17	148	383	11	69	49	71
ENSG00000231510.1	0	0	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0	0	0
ENSG00000283356.1	0	0	0	0	0	0	0	0
ENSG00000236948.2	0	0	0	0	0	0	0	0
ENSG00000264341.1	0	0	0	0	0	0	0	0
ENSG00000264101.1	0	0	0	6	1	5	2	5
ENSG00000131697.17	404	239	449	404	257	293	390	258
ENSG00000069424.14	135	227	398	128	252	292	369	326
ENSG00000116254.17	0	38	42	1	96	36	149	103
ENSG00000116251.9	1451	5017	4788	4115	1378	4473	2876	4094
ENSG00000226944.1	0	23	14	16	10	15	5	1
ENSG00000158286.12	675	252	976	1156	319	223	307	173
ENSG00000116237.15	2424	4897	2117	3973	1226	1726	2313	2594
ENSG00000225077.2	9	0	0	0	2	0	0	0
ENSG00000173673.7	0	0	0	0	0	0	0	0
ENSG00000158292.6	308	825	481	939	237	173	174	243
ENSG00000097021.19	555	706	372	1033	143	216	327	282
ENSG00000271746.1	1	37	7	9	5	8	0	0
ENSG00000069812.11	1624	2451	1579	1545	2	0	0	2
ENSG00000187017.15	908	716	621	559	7	3	2	7
ENSG00000265392.1	0	0	0	0	0	0	0	0
ENSG00000231868.1	0	0	0	0	0	0	0	0
ENSG00000215788.9	511	229	502	904	87	63	57	30
ENSG00000171680.20	2328	1406	1859	2995	230	156	285	134
ENSG00000162408.10	1298	1266	1681	1827	744	1041	1117	1132
ENSG00000253022.1	0	0	0	0	0	0	0	0
ENSG00000229519.2	0	0	0	0	0	0	0	0
ENSG00000173662.20	0	2	1	0	1	6	5	8
ENSG00000204859.12	387	273	402	222	107	216	189	269
ENSG00000162413.16	3995	3043	4039	3569	1995	2566	3427	3016
ENSG00000116273.5	600	441	425	384	357	481	750	440
ENSG00000041988.15	100	301	214	234	145	329	244	278
ENSG00000007923.15	1381	1180	1211	2196	454	527	688	595
ENSG00000228750.6	0	0	0	0	0	0	0	0
ENSG00000237436.1	12	4	6	9	1	1	1	2
ENSG00000171735.18	215	386	668	370	434	952	836	751
